PROCEDIMENTO,"RN (alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
FENOL,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
FORMALDEÍDO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
METANOL,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
METIL-ETIL-CETONA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"P-AMINOFENOL, AVALIAÇÃO DA EXPOSIÇÃO À ANILINA",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"TRICLOROCOMPOSTOS TOTAIS, AVALIAÇÃO DA EXPOSIÇÃO AO TRICLOROETANO E TRICLOROETILENO",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ZINCO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ZINCOPROTOPORFIRINA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
AGENTES INFECCIOSOS NA ENCEFALITE E MENINGITE - DETECÇÃO POR PCR MULTIPLEX EM PAINEL NO LÍQUOR,627/2025,17/02/2025,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"CHLAMYDIA TRACHOMATIS, DETECÇÃO DO DNA POR TÉCNICAS DE HIBRIDIZAÇÃO OU PCR; CHLAMYDIA TRACHOMATIS, ANTÍGENO.",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"CITOMEGALOVÍRUS - QUALITATIVO, POR PCR (COM DIRETRIZ DE UTILIZAÇÃO)",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,14.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DETECÇÃO/TIPAGEM HERPES VÍRUS 1 E 2 NO LÍQUOR,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
FOCALIZAÇÃO ISOELÉTRICA DA TRANSFERRINA (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,120.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HEPATITE B - TESTE QUANTITATIVO (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,28.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HEPATITE C - GENOTIPAGEM (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,29.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HEPATITE C (QUALITATIVO) POR PCR OU BDNA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HEPATITE C (QUANTITATIVO) POR PCR OU BDNA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"HIV - CARGA VIRAL POR PCR, NASBA OU BDNA",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HIV - QUALITATIVO POR PCR,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"HLA B27, FENOTIPAGEM/GENOTIPAGEM (COM DIRETRIZ DE UTILIZAÇÃO)",465/2021 625/2024,01/04/2021 23/12/2024,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,32.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HPV - TIPAGEM POR PCR,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HPV (VÍRUS DO PAPILOMA HUMANO) - DETECÇÃO DO DNA POR TÉCNICAS DE HIBRIDIZAÇÃO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"HTLV-I, POR PCR",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"MYCOBACTERIUM TUBERCULOSIS, DETECÇÃO POR PCR",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"MYCOBACTERIUM LEPRAE (BACILO DE HANSEN), DETECÇÃO DE RESISTÊNCIA A ANTIBIÓTICOS POR PCR",480/2022,02/07/2022,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"MYCOBACTERIUM LEPRAE (BACILO DE HANSEN), PESQUISA PCR EM TEMPO REAL",480/2022,02/07/2022,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PCR EM TEMPO REAL PARA INFLUENZA A E B (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,129.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PCR EM TEMPO REAL PARA VÍRUS SINCICIAL RESPIRATÓRIO (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,131.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"PROTEÍNA S TOTAL + LIVRE, DOSAGEM",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
SARS-CoV-2 (CORONAVÍRUS COVID-19) - PESQUISA POR RT - PCR (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,126.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE DE HIBRIDIZAÇÃO COM SONDA EM LINHA (LPA 1a LINHA) (COM DIRETRIZ DE UTILIZAÇÃO),619/2024,02/01/2025,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,168.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE DE HIBRIDIZAÇÃO COM SONDA EM LINHA (LPA 2a LINHA) (COM DIRETRIZ DE UTILIZAÇÃO),619/2024,02/01/2025,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,169.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE PARA DETECÇÃO DO VÍRUS MONKEYPOX (MPXV) POR BIOLOGIA MOLECULAR (COM DIRETRIZ DE UTILIZAÇÃO,544/2022,21/09/2022,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,157.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TOXOPLASMOSE - PESQUISA EM LÍQUIDO AMINIÓTICO POR PCR (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,125.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
VÍRUS ZIKA - POR PCR (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,111.0,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TRANSFUSÃO AMBULATORIAL,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TRANSFUSÃO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TRANSFUSÃO HOSPITALAR,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TRANSFUSÃO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
SANGRIA TERAPÊUTICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
SANGUE TOTAL RECONSTITUÍDO PARA EXSANGUÍNEO-TRANSFUSÃO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"UNIDADE DE COMPONENTES SANGÜÍNEOS (CONCENTRADO DE HEMÁCIAS, PLAQUETAS OU GRANULÓCITOS) IRRADIADA",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UNIDADE DE CONCENTRADO DE GRANULÓCITOS,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UNIDADE DE CONCENTRADO DE HEMÁCIAS,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UNIDADE DE CONCENTRADO DE HEMÁCIAS LAVADAS,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UNIDADE DE CONCENTRADO DE HEMÁCIAS LEUCODEPLETADA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UNIDADE DE CONCENTRADO DE HEMÁCIAS LEUCORREDUZIDA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UNIDADE DE CONCENTRADO DE PLAQUETAS (DUPLA CENTRIFUGAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UNIDADE DE CONCENTRADO DE PLAQUETAS LEUCODEPLETADA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UNIDADE DE CONCENTRADO DE PLAQUETAS LEUCORREDUZIDA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UNIDADE DE CONCENTRADO DE PLAQUETAS POR AFÉRESE,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UNIDADE DE CRIOPRECIPITADO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
UNIDADE DE PLASMA FRESCO CONGELADO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
AFÉRESE TERAPÊUTICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ANTI-HIV I E II POR MÉTODO IMUNOENZIMÁTICO OU QUIMIOLUMINESCÊNCIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
CONTAGEM DE CÉLULAS CD34 / CD45 POSITIVAS,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DETECÇÃO DE HEMOGLOBINAS ANORMAIS (INVESTIGAÇÃO DE HEMOGLOBINA S E DE OUTRAS HEMOGLOBINAS ANORMAIS NO DOADOR DE SANGUE),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DOAÇÃO AUTÓLOGA COM RECUPERAÇÃO INTRA-OPERATÓRIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DOAÇÃO AUTÓLOGA PERI-OPERATÓRIA POR HEMODILUIÇÃO NORMOVOLÊMICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DOAÇÃO AUTÓLOGA PRÉ-OPERATÓRIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DOAÇÃO DE COMPONENTES POR AFÉRESE,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DOENÇA DE CHAGAS - TESTE IMUNOENZIMÁTICO DE ALTA SENSIBILIDADE E IMUNOFLUORESCÊNCIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"EXAMES IMUNOHEMATOLÓGICOS EM RECÉM-NASCIDOS: TIPIFICAÇÃO ABO E RH, PESQUISA DE D FRACO RH(D) E PROVA DA ANTIGLOBULINA DIRETA)",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
FENOTIPAGEM DE OUTROS SISTEMAS ERITROCITÁRIOS,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
FENOTIPAGEM DO SISTEMA RH-HR,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"HEPATITE B - ANTI-HBC, POR MÉTODO IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"HEPATITE B - HBSAG, POR MÉTODO IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"HEPATITE C - ANTI-HCV, TESTE IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HTLV I E II - TESTE IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"IDENTIFICAÇÃO DE ANTICORPOS SÉRICOS IRREGULARES ANTIERITROCITÁRIOS C/ PAINEL DE HEMÁCIAS, INCLUI TRATAMENTO ENZIMÁTICO (ELUIÇÃO E GEL)",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"IMUNO-HEMATOLÓGICOS: TIPIFICAÇÃO ABO, INCLUINDO TIPAGEM REVERSA E DETERMINAÇÃO DO FATOR RH (D), INCLUINDO PROVA PARA D-FRACO E PESQUISA E IDENTIFICAÇÃO DE ANTICORPOS SÉRICOS IRREGULARES ANTIERITROCITÁRIOS",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"INVESTIGAÇÃO DA PRESENÇA DE ANTI-A OU ANTI-B, EM SORO OU PLASMA DE NEONATO, COM MÉTODOS QUE INCLUAM UMA FASE ANTIGLOBULÍNICA",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"MALÁRIA, PESQUISA",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PESQUISA E IDENTIFICAÇÃO DE ANTICORPOS IRREGULARES NO SANGUE DO RECEPTOR,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"PESQUISA QUALITATIVA E QUANTITATIVA DE ANTICORPOS ANTIERITROCITÁRIOS NATURAIS E IRREGULARES (ELUIÇÃO, A FRIO E GEL)",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PROVA DE COMPATIBILIDADE ENTRE AS HEMÁCIAS DO DOADOR E O SORO DO RECEPTOR (PROVA DE COMPATIBILIDADE MAIOR),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PROVAS PRÉ-TRANSFUSIONAIS: RETIPIFICAÇÃO ABO E RH DA BOLSA DE SANGUE,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
SÍFILIS - TESTE TREPONÊMICO OU NÃO-TREPONÊMICO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE DE COOMBS DIRETO E INDIRETO - INCLUI PESQUISA DE ANTICORPOS E COMPLEMENTO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EXAMES DE QUALIFICAÇÃO NO SANGUE DO DOADOR OU PROVA PRÉ-TRANSFUSIONAL NO SANGUE DO RECEPTOR,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
